"Tabela 7269 - Pessoas de 25 anos ou mais de idade por sexo e nível de instrução"
"Variável - Pessoas de 25 anos ou mais de idade (Mil pessoas)"
"Cód.";"Brasil e Unidade da Federação";"Nível de instrução";"Ano x Sexo"
"Cód.";"Brasil e Unidade da Federação";"Nível de instrução";"2023"
"Cód.";"Brasil e Unidade da Federação";"Nível de instrução";"Total"
"1";"Brasil";"Total";"140227"
"11";"Rondônia";"Total";"1170"
"12";"Acre";"Total";"501"
"13";"Amazonas";"Total";"2298"
"14";"Roraima";"Total";"329"
"15";"Pará";"Total";"5137"
"16";"Amapá";"Total";"510"
"17";"Tocantins";"Total";"967"
"21";"Maranhão";"Total";"4169"
"22";"Piauí";"Total";"2064"
"23";"Ceará";"Total";"5976"
"24";"Rio Grande do Norte";"Total";"2349"
"25";"Paraíba";"Total";"2556"
"26";"Pernambuco";"Total";"6202"
"27";"Alagoas";"Total";"2015"
"28";"Sergipe";"Total";"1441"
"29";"Bahia";"Total";"9711"
"31";"Minas Gerais";"Total";"14365"
"32";"Espírito Santo";"Total";"2745"
"33";"Rio de Janeiro";"Total";"12224"
"35";"São Paulo";"Total";"32123"
"41";"Paraná";"Total";"7767"
"42";"Santa Catarina";"Total";"4946"
"43";"Rio Grande do Sul";"Total";"7893"
"50";"Mato Grosso do Sul";"Total";"1797"
"51";"Mato Grosso";"Total";"2182"
"52";"Goiás";"Total";"4747"
"53";"Distrito Federal";"Total";"2044"
"Fonte: IBGE - Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 2º trimestre"

"Notas"
"A partir de 01 de agosto de 2022, as estimativas deste tema passaram a ser divulgadas com base no novo método de ponderação da pesquisa, conforme a Nota Técnica 03/2021. Consequentemente, a série histórica dos indicadores foi atualizada."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
