"Tabela 5938 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2010"
"Variável - Valor adicionado bruto a preços correntes da indústria (Mil Reais)"
"Cód.";"Brasil e Unidade da Federação";"Ano"
"Cód.";"Brasil e Unidade da Federação";"2021"
"1";"Brasil";"1993799000"
"11";"Rondônia";"7708393"
"12";"Acre";"1371816"
"13";"Amazonas";"41858993"
"14";"Roraima";"1535729"
"15";"Pará";"111321133"
"16";"Amapá";"2365599"
"17";"Tocantins";"5000272"
"21";"Maranhão";"21733198"
"22";"Piauí";"8222965"
"23";"Ceará";"34230713"
"24";"Rio Grande do Norte";"14728096"
"25";"Paraíba";"10071557"
"26";"Pernambuco";"40694065"
"27";"Alagoas";"9432169"
"28";"Sergipe";"10223715"
"29";"Bahia";"76494697"
"31";"Minas Gerais";"258629586"
"32";"Espírito Santo";"59642699"
"33";"Rio de Janeiro";"292743438"
"35";"São Paulo";"518292532"
"41";"Paraná";"130065817"
"42";"Santa Catarina";"95420339"
"43";"Rio Grande do Sul";"121123407"
"50";"Mato Grosso do Sul";"25468386"
"51";"Mato Grosso";"32177974"
"52";"Goiás";"53006223"
"53";"Distrito Federal";"10235490"
"Fonte: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA"

"Notas"
"1 - Os dados de 2022 e 2023 estarão sujeitos a revisão na próxima publicação."
"2 - Para os anos de 2022 e 2023 foram divulgados apenas o Produto Interno Bruto e o Produto Interno Bruto per capita, conforme a nota técnica 02/2024 do Sistema de Contas Nacionais, que pode ser acessada em https://biblioteca.ibge.gov.br/visualizacao/livros/liv102094.pdf."
"3 - Os dados da série retropolada (de 2002 a 2009) também têm como referência o ano de 2010, seguindo a nova referência das Contas Nacionais."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
