"Tabela 6415 - População"
"Variável - População (Mil pessoas)"
"Cód.";"Brasil e Unidade da Federação";"Ano"
"Cód.";"Brasil e Unidade da Federação";"2023"
"1";"Brasil";"210972"
"11";"Rondônia";"1727"
"12";"Acre";"856"
"13";"Amazonas";"4078"
"14";"Roraima";"608"
"15";"Pará";"8565"
"16";"Amapá";"791"
"17";"Tocantins";"1551"
"21";"Maranhão";"6959"
"22";"Piauí";"3366"
"23";"Ceará";"9180"
"24";"Rio Grande do Norte";"3436"
"25";"Paraíba";"4101"
"26";"Pernambuco";"9456"
"27";"Alagoas";"3210"
"28";"Sergipe";"2282"
"29";"Bahia";"14808"
"31";"Minas Gerais";"21235"
"32";"Espírito Santo";"4071"
"33";"Rio de Janeiro";"17213"
"35";"São Paulo";"45846"
"41";"Paraná";"11739"
"42";"Santa Catarina";"7913"
"43";"Rio Grande do Sul";"11206"
"50";"Mato Grosso do Sul";"2805"
"51";"Mato Grosso";"3731"
"52";"Goiás";"7274"
"53";"Distrito Federal";"2968"
"Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, acumulado de primeiras visitas, exceto 2020-2022, acumulado de quintas visitas, devido à pandemia de Covid-19."

"Notas"
"A partir de 2025, as estimativas deste tema passaram a ser divulgadas com base na nova ponderação da pesquisa, conforme a Nota Técnica 02/2025. Consequentemente, a série histórica dos indicadores foi atualizada."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
