"Tabela 7531 - Rendimento médio mensal real domiciliar per capita, a preços médios do ano, por classes simples de percentual das pessoas em ordem crescente de rendimento domiciliar per capita"
"Variável - Rendimento médio mensal real domiciliar per capita, a preços médios do ano (Reais)"
"Cód.";"Brasil e Unidade da Federação";"Ano x Classes de percentual das pessoas em ordem crescente de rendimento domiciliar per capita"
"Cód.";"Brasil e Unidade da Federação";"2023"
"Cód.";"Brasil e Unidade da Federação";"Total"
"1";"Brasil";"1848"
"11";"Rondônia";"1523"
"12";"Acre";"1074"
"13";"Amazonas";"1166"
"14";"Roraima";"1428"
"15";"Pará";"1273"
"16";"Amapá";"1492"
"17";"Tocantins";"1544"
"21";"Maranhão";"969"
"22";"Piauí";"1327"
"23";"Ceará";"1140"
"24";"Rio Grande do Norte";"1350"
"25";"Paraíba";"1323"
"26";"Pernambuco";"1099"
"27";"Alagoas";"1102"
"28";"Sergipe";"1198"
"29";"Bahia";"1129"
"31";"Minas Gerais";"1863"
"32";"Espírito Santo";"1883"
"33";"Rio de Janeiro";"2305"
"35";"São Paulo";"2414"
"41";"Paraná";"2046"
"42";"Santa Catarina";"2224"
"43";"Rio Grande do Sul";"2255"
"50";"Mato Grosso do Sul";"1990"
"51";"Mato Grosso";"1948"
"52";"Goiás";"1973"
"53";"Distrito Federal";"3215"
"Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, acumulado de primeiras visitas, exceto 2020-2022, acumulado de quintas visitas, devido à pandemia de Covid-19."

"Notas"
"O rendimento de trabalho é captado somente para pessoas de 14 anos ou mais de idade.
Exclusive as pessoas cuja condição no domicílio era ""Pensionista"", ""Empregado doméstico"" ou ""Parente de empregado doméstico"".
O rendimento real é obtido conforme deflacionamento especificado nas Notas Técnicas da PNAD Contínua.
Os limites superiores de cada classe são definidos pelos respectivos percentis da distribuição do rendimento domiciliar per capita dos moradores, representados por P5, P10, P20..., e podem ser consultados na tabela 7438.
A proporção exata da população em cada classe pode ser vista na Tabela 7521.
A partir de 19 de novembro de 2021, as estimativas deste tema passaram a ser divulgadas com base no novo método de ponderação da pesquisa, conforme a Nota Técnica 03/2021. Consequentemente, a série histórica dos indicadores foi atualizada.
Até o 3º trimestre de 2015, as pessoas em licença remunerada na semana de referência da pesquisa e que estavam afastadas por período inferior a 4 meses eram classificadas como ""ocupadas"". Caso esse afastamento fosse igual ou superior a 4 meses, essas pessoas eram definidas como ""fora da força de trabalho"" e, portanto, não se investigava o rendimento do trabalho. A partir do 4º trimestre de 2015, em acordo com as recomendações da 19ª Conferência Internacional de Estatísticos do Trabalho - CIET, da OIT, pessoas em licença remunerada, independentemente do tempo de afastamento, passaram a ser classificadas como ""ocupadas"" e seus rendimentos do trabalho foram coletados normalmente."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
