cod_uf;uf;valor
1;Brasil;27588
11;Rondônia;180
12;Acre;87
13;Amazonas;404
14;Roraima;66
15;Pará;700
16;Amapá;119
17;Tocantins;189
21;Maranhão;509
22;Piauí;328
23;Ceará;793
24;Rio Grande do Norte;356
25;Paraíba;345
26;Pernambuco;894
27;Alagoas;265
28;Sergipe;222
29;Bahia;1155
31;Minas Gerais;2591
32;Espírito Santo;547
33;Rio de Janeiro;3077
35;São Paulo;8003
41;Paraná;1612
42;Santa Catarina;1039
43;Rio Grande do Sul;1494
50;Mato Grosso do Sul;413
51;Mato Grosso;419
52;Goiás;972
53;Distrito Federal;811
