cod_uf;uf;valor
11;Rondônia;1170
12;Acre;501
13;Amazonas;2298
14;Roraima;329
15;Pará;5137
16;Amapá;510
17;Tocantins;967
21;Maranhão;4169
22;Piauí;2064
23;Ceará;5976
24;Rio Grande do Norte;2349
25;Paraíba;2556
26;Pernambuco;6202
27;Alagoas;2015
28;Sergipe;1441
29;Bahia;9711
31;Minas Gerais;14365
32;Espírito Santo;2745
33;Rio de Janeiro;12224
35;São Paulo;32123
41;Paraná;7767
42;Santa Catarina;4946
43;Rio Grande do Sul;7893
50;Mato Grosso do Sul;1797
51;Mato Grosso;2182
52;Goiás;4747
53;Distrito Federal;2044
