cod_uf;uf;valor
1;Brasil;39.2
11;Rondônia;46.3
12;Acre;45.9
13;Amazonas;54
14;Roraima;45.3
15;Pará;56.8
16;Amapá;41.6
17;Tocantins;44.9
21;Maranhão;56.4
22;Piauí;54.4
23;Ceará;53.3
24;Rio Grande do Norte;45
25;Paraíba;49.7
26;Pernambuco;50.3
27;Alagoas;45.7
28;Sergipe;51.9
29;Bahia;54.2
31;Minas Gerais;37.5
32;Espírito Santo;39.1
33;Rio de Janeiro;37.2
35;São Paulo;31.5
41;Paraná;32.1
42;Santa Catarina;26.5
43;Rio Grande do Sul;32
50;Mato Grosso do Sul;34.5
51;Mato Grosso;34.6
52;Goiás;38.3
53;Distrito Federal;29.7
