cod_uf;uf;valor
11;Rondônia;13103179
12;Acre;6633283
13;Amazonas;22727267
14;Roraima;7170746
15;Pará;39736143
16;Amapá;8578396
17;Tocantins;12371635
21;Maranhão;28420116
22;Piauí;17259553
23;Ceará;38425285
24;Rio Grande do Norte;20873316
25;Paraíba;21927900
26;Pernambuco;45308279
27;Alagoas;15912397
28;Sergipe;13058213
29;Bahia;59046302
31;Minas Gerais;107176263
32;Espírito Santo;20462462
33;Rio de Janeiro;145587873
35;São Paulo;206915184
41;Paraná;58973871
42;Santa Catarina;42112450
43;Rio Grande do Sul;67741826
50;Mato Grosso do Sul;20888757
51;Mato Grosso;25007411
52;Goiás;36728695
53;Distrito Federal;116809198
