cod_uf;uf;valor
11;Rondônia;10581030
12;Acre;3637871
13;Amazonas;5631734
14;Roraima;1234389
15;Pará;24296591
16;Amapá;346361
17;Tocantins;13364375
21;Maranhão;13885862
22;Piauí;7821685
23;Ceará;10410352
24;Rio Grande do Norte;3141755
25;Paraíba;3190466
26;Pernambuco;9605117
27;Alagoas;16829600
28;Sergipe;2758532
29;Bahia;34058220
31;Minas Gerais;55849923
32;Espírito Santo;7014830
33;Rio de Janeiro;4375468
35;São Paulo;46193518
41;Paraná;61711282
42;Santa Catarina;23433284
43;Rio Grande do Sul;74967475
50;Mato Grosso do Sul;32138406
51;Mato Grosso;79882439
52;Goiás;42437487
53;Distrito Federal;2286948
