cod_uf;uf;valor
11;Rondônia;7708393
12;Acre;1371816
13;Amazonas;41858993
14;Roraima;1535729
15;Pará;111321133
16;Amapá;2365599
17;Tocantins;5000272
21;Maranhão;21733198
22;Piauí;8222965
23;Ceará;34230713
24;Rio Grande do Norte;14728096
25;Paraíba;10071557
26;Pernambuco;40694065
27;Alagoas;9432169
28;Sergipe;10223715
29;Bahia;76494697
31;Minas Gerais;258629586
32;Espírito Santo;59642699
33;Rio de Janeiro;292743438
35;São Paulo;518292532
41;Paraná;130065817
42;Santa Catarina;95420339
43;Rio Grande do Sul;121123407
50;Mato Grosso do Sul;25468386
51;Mato Grosso;32177974
52;Goiás;53006223
53;Distrito Federal;10235490
