cod_uf;uf;valor
11;Rondônia;19662492
12;Acre;7652757
13;Amazonas;39019250
14;Roraima;6368835
15;Pará;64743381
16;Amapá;7215090
17;Tocantins;15959034
21;Maranhão;46190740
22;Piauí;24184665
23;Ceará;83990541
24;Rio Grande do Norte;32321165
25;Paraíba;32576435
26;Pernambuco;90257702
27;Alagoas;26317884
28;Sergipe;19854437
29;Bahia;137724666
31;Minas Gerais;332409799
32;Espírito Santo;68524167
33;Rio de Janeiro;377139325
35;São Paulo;1474964197
41;Paraná;223838590
42;Santa Catarina;186568806
43;Rio Grande do Sul;238271769
50;Mato Grosso do Sul;47448445
51;Mato Grosso;73276756
52;Goiás;105981332
53;Distrito Federal;127696742
