cod_uf;uf;valor
11;Rondônia;51055095
12;Acre;19295727
13;Amazonas;109237244
14;Roraima;16309700
15;Pará;240097248
16;Amapá;18505446
17;Tocantins;46695315
21;Maranhão;110229915
22;Piauí;57488868
23;Ceará;167056891
24;Rio Grande do Norte;71064332
25;Paraíba;67766358
26;Pernambuco;185865163
27;Alagoas;68492049
28;Sergipe;45894896
29;Bahia;307323885
31;Minas Gerais;754065571
32;Espírito Santo;155644158
33;Rio de Janeiro;819846104
35;São Paulo;2246365431
41;Paraná;474589559
42;Santa Catarina;347534879
43;Rio Grande do Sul;502104476
50;Mato Grosso do Sul;125943994
51;Mato Grosso;210344581
52;Goiás;238153738
53;Distrito Federal;257028378
