cod_uf;uf;valor
1;Brasil;10943345439
11;Rondônia;76456179
12;Acre;26291321
13;Amazonas;161794976
14;Roraima;25124805
15;Pará;254546511
16;Amapá;28020120
17;Tocantins;64317699
21;Maranhão;149227195
22;Piauí;80916856
23;Ceará;232239257
24;Rio Grande do Norte;101740275
25;Paraíba;96963174
26;Pernambuco;270474919
27;Alagoas;89688932
28;Sergipe;60816662
29;Bahia;430987853
31;Minas Gerais;971977551
32;Espírito Santo;209829732
33;Rio de Janeiro;1172871443
35;São Paulo;3444814033
41;Paraná;670919162
42;Santa Catarina;513392973
43;Rio Grande do Sul;650107022
50;Mato Grosso do Sul;184402118
51;Mato Grosso;273008586
52;Goiás;336746975
53;Distrito Federal;365669108
