cod_uf;uf;valor
1;Brasil;210972
11;Rondônia;1727
12;Acre;856
13;Amazonas;4078
14;Roraima;608
15;Pará;8565
16;Amapá;791
17;Tocantins;1551
21;Maranhão;6959
22;Piauí;3366
23;Ceará;9180
24;Rio Grande do Norte;3436
25;Paraíba;4101
26;Pernambuco;9456
27;Alagoas;3210
28;Sergipe;2282
29;Bahia;14808
31;Minas Gerais;21235
32;Espírito Santo;4071
33;Rio de Janeiro;17213
35;São Paulo;45846
41;Paraná;11739
42;Santa Catarina;7913
43;Rio Grande do Sul;11206
50;Mato Grosso do Sul;2805
51;Mato Grosso;3731
52;Goiás;7274
53;Distrito Federal;2968
