cod_uf;uf;valor
1;Brasil;7.7
11;Rondônia;3.1
12;Acre;7.4
13;Amazonas;10
14;Roraima;6.6
15;Pará;7.7
16;Amapá;11.2
17;Tocantins;5.8
21;Maranhão;7.9
22;Piauí;9.8
23;Ceará;8.5
24;Rio Grande do Norte;10.9
25;Paraíba;9.5
26;Pernambuco;13.5
27;Alagoas;9.2
28;Sergipe;11.5
29;Bahia;13.2
31;Minas Gerais;5.8
32;Espírito Santo;5.7
33;Rio de Janeiro;10.1
35;São Paulo;7.5
41;Paraná;4.8
42;Santa Catarina;3.5
43;Rio Grande do Sul;5.4
50;Mato Grosso do Sul;4.7
51;Mato Grosso;3.4
52;Goiás;5.9
53;Distrito Federal;10.2
