cod_uf;uf;valor
1;Brasil;1848
11;Rondônia;1523
12;Acre;1074
13;Amazonas;1166
14;Roraima;1428
15;Pará;1273
16;Amapá;1492
17;Tocantins;1544
21;Maranhão;969
22;Piauí;1327
23;Ceará;1140
24;Rio Grande do Norte;1350
25;Paraíba;1323
26;Pernambuco;1099
27;Alagoas;1102
28;Sergipe;1198
29;Bahia;1129
31;Minas Gerais;1863
32;Espírito Santo;1883
33;Rio de Janeiro;2305
35;São Paulo;2414
41;Paraná;2046
42;Santa Catarina;2224
43;Rio Grande do Sul;2255
50;Mato Grosso do Sul;1990
51;Mato Grosso;1948
52;Goiás;1973
53;Distrito Federal;3215
